,variable,sector,indic_sb,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
0,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2008,12216
1,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2009,12388
2,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2010,13597
3,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2011,14586
4,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2012,14960
5,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2013,15409
6,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2014,16105
7,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2015,16105
8,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2016,17126
9,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2017,17988
10,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2018,18487
11,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2019,18961
12,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,DK,Denmark,2020,18996
13,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2008,102469
14,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2009,100656
15,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2010,99122
16,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2011,97414
17,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2012,97280
18,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2013,95989
19,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2014,96997
20,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2015,98381
21,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2016,101269
22,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2017,101941
23,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2018,105449
24,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2019,104879
25,Annual enterprise statistics for special aggregates of NACE Rev.2 activities (2005-2020),Information and communication,V11110,IT,Italy,2020,107822
